lang,train_whisper_asr_cer_mean,train_whisper_asr_cer_std,train_whisper_asr_wer_mean,train_whisper_asr_wer_std,train_seamlessm4t_asr_cer_mean,train_seamlessm4t_asr_cer_std,train_seamlessm4t_asr_wer_mean,train_seamlessm4t_asr_wer_std,dev_whisper_asr_cer_mean,dev_whisper_asr_cer_std,dev_whisper_asr_wer_mean,dev_whisper_asr_wer_std,dev_seamlessm4t_asr_cer_mean,dev_seamlessm4t_asr_cer_std,dev_seamlessm4t_asr_wer_mean,dev_seamlessm4t_asr_wer_std,test_whisper_asr_cer_mean,test_whisper_asr_cer_std,test_whisper_asr_wer_mean,test_whisper_asr_wer_std,test_seamlessm4t_asr_cer_mean,test_seamlessm4t_asr_cer_std,test_seamlessm4t_asr_wer_mean,test_seamlessm4t_asr_wer_std
isl_Latn,0.16541348054974447,0.2735830410793948,0.4797092433898303,0.498524326937268,0.1054454318803934,0.13104882918264316,0.22574678467584539,0.1744669062228607,0.11694074184298081,0.07239573326171633,0.3989333126472523,0.15611583739436044,0.07772961954554408,0.10302836040939854,0.19865603361842374,0.167770160282417,0.09632259799396868,0.0499789623603239,0.35096316802321587,0.1583290225607628,0.09296989158992124,0.13410835648265165,0.1985286581079335,0.19163535536423507
kor_Hang,0.07715794934811063,0.09221988030489789,0.2232809700652976,0.17487382582332278,0.10808088047235641,0.10970299489081155,0.26869573064989616,0.19060381729450526,0.06529836433565674,0.07794483488859445,0.1929295460953555,0.17104092922316824,0.09528416667156517,0.10556105014236887,0.2277418702349455,0.18424389163605992,0.0747495419784986,0.08855301127336088,0.20277304602670035,0.15436963119564526,0.10257019925345881,0.11333806892726056,0.23109894528617264,0.17924845096447478
lao_Laoo,1.0818772873433418,0.36886408369367063,2.906720204740504,7.190189795133266,0.2990915606804726,0.11655005132610344,6.0494522002444215,4.999409020339161,1.156361560908663,0.42294131380101585,2.9493847000322586,3.835142328220187,0.31645541502080765,0.1033759680340908,6.64694368332644,5.4709019191528885,1.1051961090681877,0.45149945146621073,2.7332337619619063,5.12686158589441,0.3151049667297344,0.10485147961467432,5.832618636925572,4.7605228838466145
arb_Arab,0.08212085987947819,0.08423740898931846,0.2974409334427386,0.15118290084996402,0.08633628747428168,0.12177285294677359,0.23966330188776888,0.17215744478261652,0.060403062945888424,0.036970965551703316,0.2511972793216642,0.10954135881780908,0.06946371913264847,0.0729185924220275,0.2091155276722403,0.13205384663755343,0.06782904146082282,0.05663236475559181,0.2647699268140908,0.13641199132575305,0.07419364176038556,0.0809910009838677,0.2232034601946624,0.13991750833099226
ces_Latn,0.041927024551694586,0.08302571641929622,0.15030013429043634,0.14582608877727213,0.08022254474968067,0.11632347465620613,0.20050484959102735,0.15589300327854252,0.041476798628855845,0.045832072467366654,0.1535894960054094,0.11724588958462931,0.06534494535907792,0.08760949618757355,0.18198184639167925,0.1391219342587003,0.04159207575813589,0.0439230400243995,0.1596151558197451,0.126244821793993,0.0768195042334826,0.11938059436881804,0.20575718721743896,0.18039285455903367
dan_Latn,0.044236397313880876,0.04539868731107761,0.14639601343537018,0.11575109334791651,0.09824569994577237,0.12084521326624005,0.28343589814079206,0.13509123005150014,0.06324109417206354,0.0645332910009502,0.18615182706230857,0.14334735743510504,0.09122109048966724,0.08356507978130014,0.2893760714035278,0.12216375985783673,0.05554310968537947,0.04557649024284948,0.17484380112922615,0.11201835211686756,0.10480055469391467,0.12890199899839885,0.3032397407637936,0.1818315210175162
kat_Geor,0.19871336712214718,0.14696358917579577,0.7090268577454054,0.21052298180995896,0.07877107940157288,0.11122074903673357,0.20419806499468274,0.17166081396436875,0.19044776324522697,0.09166460745822728,0.7273804170152306,0.13859459811103092,0.05851927995275832,0.07686298764338884,0.17936807949265998,0.14435311856945982,0.20418294001279824,0.10176015980942472,0.7367328986342625,0.13723036826875254,0.06640930390824844,0.07962354733474511,0.20040567982244928,0.14030733125999884
fin_Latn,0.03457363095032531,0.03887770378370981,0.16804517340129854,0.13551355841670212,0.10896255392094345,0.14403429427271464,0.3774831257051304,0.16481263835061263,0.027893781254573296,0.03932198294260005,0.11675531419701002,0.11481367931367843,0.08074974380915843,0.0924473058706387,0.34636506805349593,0.1390576077775385,0.02447165673896828,0.03393418093578403,0.12223957473283256,0.1069609840390128,0.09972606048822395,0.1260332212784058,0.37066153102075766,0.17553747357807356
eng_Latn,0.030686204399587733,0.0440236588314818,0.0978804639480348,0.09678692975909484,0.06404425951152459,0.09569645026407979,0.14977220521102896,0.13744327983990673,0.03190506619683364,0.03413503261797782,0.1076938082486411,0.10443390136561381,0.061727315991419035,0.06802814196937176,0.16037006465776235,0.12536542816343585,0.03333297782666921,0.03847146613509649,0.10878552733377449,0.09560023244095078,0.05957446085420413,0.06631749181068743,0.14968753245241848,0.11379621721238446
jpn_Jpan,0.056840111249582125,0.05808821885071766,0.8295795795795796,0.42161039904368447,0.16080223788381173,0.09872444727125629,2.9490365365365365,1.5573243765479785,0.07098239781366324,0.05488712652396639,0.8814814814814815,0.2963757494355944,0.17022342375956864,0.10651044178483847,3.066049382716049,1.7807967818664772,0.08785232142740478,0.17700322392929704,0.9420560747663551,0.28476366109306805,0.181231759997072,0.11090133266203821,3.169730010384216,1.6757937991988656
cat_Latn,0.03645987007772342,0.04027656527465166,0.11488613953214002,0.10064724172622813,0.05762076744162269,0.0949160731158089,0.11677950624485421,0.11271512209852667,0.029835793487651686,0.045923092828840446,0.09083704744808072,0.08371402397266924,0.036161750107091016,0.06680165082358314,0.08571694790016791,0.09770735890272295,0.029399425350528325,0.03622645506975434,0.0970039606087121,0.08436439090014071,0.04887685818470743,0.08907234015462398,0.10609059782581291,0.11770993873025068
mkd_Cyrl,0.05870135034037612,0.05115053650529731,0.2320048164305589,0.132848124045993,0.09105829493905153,0.13249788726903794,0.2449009055906769,0.1630515783003312,0.053559538565542034,0.044214342713058165,0.20611211531691723,0.12193957248398099,0.0696227203548387,0.0853164551149252,0.2277701718804867,0.1205821723158116,0.05704934357690759,0.07789451551234591,0.21528801159075642,0.13115878496847924,0.08164318297511555,0.11031336423670215,0.24587952928149773,0.14572520757072957
afr_Latn,0.13044984521540903,0.07122456831185936,0.3953444472199308,0.14574157255691517,0.1171289156924255,0.12410373828428238,0.3012254056967763,0.15292223682396092,0.1364889995845088,0.12095644498165979,0.37986087213299247,0.18565171796941768,0.1399096110370919,0.16571553060375732,0.3219754052334113,0.18426578399158675,0.13167921121964835,0.07860813661344844,0.38536943861493017,0.14562250069968166,0.13762320112497559,0.12343713228410456,0.33153041473296596,0.1652631264376603
ind_Latn,0.0435550914053355,0.09318286467532295,0.14198628385065984,0.14928900337589587,0.10014942737653096,0.14545738676679817,0.30552160590090355,0.18939975586039343,0.03708441579151654,0.04664013402995175,0.14265001253887363,0.12662777845209783,0.07901461237960593,0.10797399804386834,0.28457353999630397,0.1704903023511339,0.03662527732241961,0.03813999872143795,0.15059423356393334,0.1164505316218038,0.08819765595641911,0.10508538147628221,0.3002981551458612,0.16208942932362363
spa_Latn,0.021938340217370147,0.03539452306849958,0.07289366900291132,0.07805108515166412,0.06699604269812144,0.10269800669229179,0.17378301421859949,0.1366500790844796,0.020862266673443722,0.028097084489171923,0.0715838638343715,0.07913855966260169,0.04792729941245298,0.06415933203037835,0.1436386321387121,0.12113177055088602,0.01982559636228003,0.024928732392475516,0.07534802860548423,0.07629549881559397,0.05599651314073341,0.08116754150952193,0.16285821237405718,0.12874448120468776
